id,name,meaning,gender,origin,PeoplesCount,WhenPeoplesCount,Source
28529,acennan,Brings,Male,Anglo-Saxon,5,04.07.2016 14:02:39,myData.biz
28530,acestes,myth name,Male,Greek,78,04.07.2016 14:02:48,myData.biz
28531,acey,Unity,Male,Anglo-Saxon,2000,04.07.2016 14:02:56,myData.biz
28532,achaius,Friend of a horse,Male,Scottish,46,04.07.2016 14:03:03,myData.biz
28533,achak,Algonquin name meaning &quot; spirit.&quot;,Male,Native,414,04.07.2016 14:03:12,myData.biz
28534,achak,Spirit (Algonquin),Male,Native American,414,04.07.2016 14:03:19,myData.biz
28535,achan,Dinka of south Sudan name for a female child in the first pair of twins.,Female,African,3000,04.07.2016 14:03:27,myData.biz
28536,acharya,spiritual teacher,Male,Indian,46000,04.07.2016 14:03:35,myData.biz
28537,achates,myth name (companion of Aeneas),Male,Greek,201,04.07.2016 14:03:43,myData.biz
28538,achcauhtli,unisexual name meaning &quot;leader.&quot;,Female,Nahuatl,4,04.07.2016 14:03:51,myData.biz
28539,achcauhtli,unisexual name meaning &quot;leader.&quot;,Male,Nahuatl,4,04.07.2016 14:04:00,myData.biz
28540,acheflour,white flower,Female,Arthurian,5,04.07.2016 14:04:08,myData.biz
28541,acheflow,White flower,Female,Arthurian Legend,3,04.07.2016 14:04:15,myData.biz
28542,achelous,myth name (a river god),Male,Greek,104,04.07.2016 14:04:25,myData.biz
28543,acheron,myth name (river of woe),Male,Greek,618,04.07.2016 14:04:33,myData.biz
